recommendation_id,client_id,week_start_date,week_end_date,best_platform,recommendation_text,created_at
f46ac0d6-3987-4bcc-9cbd-3dacb6d2ba98,0b3d3f1e-5980-4d29-839c-ba414978df59,2026-04-08,2026-04-14,tiktok,Data shows tiktok drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-05-18 02:10:25
8092c95e-8aad-4cee-84de-c0cea4231f24,7df8690a-2363-4a15-8686-2cbeb982da79,2026-04-15,2026-04-21,youtube,Your youtube audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-04-22 08:36:40
04478130-e915-41c8-b86a-435f9580f5ad,288112ec-fe6d-4614-ba60-c88b10a8cce2,2026-03-11,2026-03-17,facebook,Your facebook audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-05-25 09:30:21
5cc5d9f0-6f21-44a2-a5bc-879b7d44a6ed,be527e58-5060-4b1a-a17d-a8e767bca837,2026-05-20,2026-05-26,tiktok,Data shows tiktok drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-03-22 13:46:37
9a0667ed-66f7-44c0-ba11-daa72647bd11,e93d1ca1-0862-4bd5-9c5e-c836334dfb50,2026-04-01,2026-04-07,linkedin,"Based on last week's analytics, linkedin posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-03-03 04:01:04
bef1bf9e-4285-4d72-b748-581274be23e5,49276bea-9dcf-4271-99d9-39880d66d25a,2026-04-29,2026-05-05,twitter,Your twitter audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-03-03 14:32:08
24c4b02e-d12b-41ed-93a8-1a1baa1e790d,0b3d3f1e-5980-4d29-839c-ba414978df59,2026-04-01,2026-04-07,youtube,Data shows youtube drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-04-10 22:18:52
74eb1905-4b85-4d1b-9585-6c57c8b2cb4e,57d21c6f-5ddb-4e55-9a54-89366d0183f4,2026-03-04,2026-03-10,linkedin,Your linkedin audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-04-25 03:17:49
efd50e96-905a-4a7a-be60-9dfb1a94d07c,0b3d3f1e-5980-4d29-839c-ba414978df59,2026-04-22,2026-04-28,instagram,Engagement on instagram is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-05-08 08:08:19
e5946ca5-0210-48ed-b5ff-5351498dfaa6,cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,2026-04-22,2026-04-28,youtube,Engagement on youtube is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-03-06 21:39:39
e2659b18-391b-4cbd-8b47-6c4cc94a993a,dbf44d74-90e3-405a-aba0-d36d5efb1afc,2026-04-15,2026-04-21,linkedin,Engagement on linkedin is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-05-17 09:28:10
0676fe14-095f-4116-afcd-0d70aeaccfba,79284e64-48ab-49d9-9513-dae60b27da13,2026-03-18,2026-03-24,twitter,"Based on last week's analytics, twitter posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-03-22 09:31:28
2288dbed-abd6-4292-aa02-e2524fb35617,ff44b144-80e4-4b0f-a9b3-b5a4c468488a,2026-04-01,2026-04-07,linkedin,Engagement on linkedin is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-04-18 11:34:40
4cf619e5-9d2e-4db5-b93e-0df8cd5789a4,75905a97-dbd8-4178-bb81-a4c9c38fd0fa,2026-05-20,2026-05-26,youtube,"Based on last week's analytics, youtube posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-03-06 09:55:59
4690e945-9594-4d19-b1e7-670fb6ef14a3,be527e58-5060-4b1a-a17d-a8e767bca837,2026-05-06,2026-05-12,linkedin,Data shows linkedin drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-03-04 04:31:48
edcb3892-b6cf-4c5e-a829-428d0b883964,5901d927-0540-4a16-ab75-b3cdc8e6a7bb,2026-04-29,2026-05-05,twitter,Data shows twitter drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-04-29 12:52:19
b1d8fa14-e3f5-4891-a911-148aee5fb3db,cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,2026-05-06,2026-05-12,linkedin,"Your top-performing content last week was on linkedin. Replicate the format: short caption, 5 hashtags, high-quality image. Aim for 4 posts this week.",2026-03-25 14:19:33
f37c282c-094a-4342-b1dc-7fd46e6581d8,5901d927-0540-4a16-ab75-b3cdc8e6a7bb,2026-05-20,2026-05-26,instagram,Data shows instagram drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-04-19 02:38:25
e00baaf0-588c-4fa1-a93f-f1042c05a7f6,ccca073b-2ff5-4529-8eda-70e6de1be41b,2026-05-06,2026-05-12,youtube,Data shows youtube drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-03-11 23:17:31
2b959645-67ee-4319-8762-8987cfb3a505,ff44b144-80e4-4b0f-a9b3-b5a4c468488a,2026-03-18,2026-03-24,linkedin,Your linkedin audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-05-10 11:04:49
64180ea3-c852-467d-91d3-1cd3e3e86b15,75905a97-dbd8-4178-bb81-a4c9c38fd0fa,2026-03-04,2026-03-10,twitter,"Based on last week's analytics, twitter posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-05-26 15:29:23
4fe6e88d-f119-48f3-8b70-6dfeee8e8899,be527e58-5060-4b1a-a17d-a8e767bca837,2026-03-25,2026-03-31,youtube,Your youtube audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-05-12 18:28:43
c6ea1777-4d3a-413e-bbb9-e1ec556421b9,47887c49-3f2d-418a-9613-c7c880d13124,2026-04-08,2026-04-14,youtube,"Based on last week's analytics, youtube posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-03-06 12:47:04
dacdc788-9bcf-4b01-ad41-d8bd4e9f1836,dbf44d74-90e3-405a-aba0-d36d5efb1afc,2026-04-08,2026-04-14,facebook,Data shows facebook drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-04-08 22:25:29
f88c1ae1-241d-49ad-835c-c117c1c74b7e,7df8690a-2363-4a15-8686-2cbeb982da79,2026-05-20,2026-05-26,tiktok,Data shows tiktok drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-04-14 17:32:21
9664d2ca-e7c6-42b5-a11c-8f1291a39fd7,be527e58-5060-4b1a-a17d-a8e767bca837,2026-03-11,2026-03-17,twitter,Your twitter audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-03-12 00:55:00
da822e7b-72af-489d-8498-acd7e711eb57,49276bea-9dcf-4271-99d9-39880d66d25a,2026-05-06,2026-05-12,instagram,"Based on last week's analytics, instagram posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-04-18 08:12:07
44575fde-1dc0-4525-a27f-257dbf398ee0,57d21c6f-5ddb-4e55-9a54-89366d0183f4,2026-04-01,2026-04-07,tiktok,Engagement on tiktok is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-05-16 17:03:19
165f1b53-ee4c-412d-a2ca-0ecc30cb01c5,47887c49-3f2d-418a-9613-c7c880d13124,2026-04-15,2026-04-21,youtube,"Your top-performing content last week was on youtube. Replicate the format: short caption, 5 hashtags, high-quality image. Aim for 4 posts this week.",2026-04-19 04:22:31
80a0a036-ad3d-47be-b38e-f468acdf8a5c,cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,2026-03-04,2026-03-10,linkedin,Engagement on linkedin is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-04-03 23:13:44
09d217c9-db7c-49b2-b67b-d07178ace5e5,11d14c72-b352-4292-967d-b6326d54744c,2026-05-06,2026-05-12,youtube,"Your top-performing content last week was on youtube. Replicate the format: short caption, 5 hashtags, high-quality image. Aim for 4 posts this week.",2026-03-02 04:34:32
b170fec6-d91f-485f-a095-1eaa67f61c96,3bcd8a6a-d798-472c-93fc-7208d5eb00e3,2026-05-20,2026-05-26,linkedin,"Based on last week's analytics, linkedin posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-05-04 19:37:29
bc8aabff-cc83-4714-b842-abcceb9153da,7df8690a-2363-4a15-8686-2cbeb982da79,2026-04-08,2026-04-14,facebook,Engagement on facebook is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-03-23 22:21:14
e59648b6-d3e9-48ac-aaeb-2b5012fe9f6c,cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,2026-05-20,2026-05-26,youtube,"Based on last week's analytics, youtube posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-05-25 05:23:52
8b03ffbd-f0f8-4eca-9710-7d8b834f6ebb,47535168-2cb4-4c2d-b35a-b987802a2df7,2026-03-18,2026-03-24,facebook,"Your top-performing content last week was on facebook. Replicate the format: short caption, 5 hashtags, high-quality image. Aim for 4 posts this week.",2026-05-07 08:42:43
0cc7666e-479f-45ea-9f22-8029c8f5d058,3bcd8a6a-d798-472c-93fc-7208d5eb00e3,2026-04-01,2026-04-07,youtube,"Your top-performing content last week was on youtube. Replicate the format: short caption, 5 hashtags, high-quality image. Aim for 4 posts this week.",2026-04-22 03:33:36
5e0a4cf1-48d4-49aa-b6cd-9522feba5622,0b3d3f1e-5980-4d29-839c-ba414978df59,2026-03-25,2026-03-31,twitter,Your twitter audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-05-19 21:49:12
ab5ccc55-1f1b-4fc5-8b6b-b25f4f4237d8,cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,2026-04-29,2026-05-05,facebook,"Based on last week's analytics, facebook posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-04-14 01:47:16
c514e6dc-e628-4094-a25c-a45a98dc6ede,c97541aa-bbae-47af-ab41-edbf474c799e,2026-03-11,2026-03-17,facebook,Data shows facebook drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-04-04 00:07:01
539d4593-9fe8-4aa6-a284-0f08c855dbf9,7df8690a-2363-4a15-8686-2cbeb982da79,2026-03-18,2026-03-24,linkedin,Your linkedin audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-05-13 00:40:29
