analytics_id,post_id,views,likes,comments,shares,engagement_rate,recorded_at
811bbd3c-0aa8-4f1b-ae83-e11acc413abd,3022ee85-2e0d-4bfb-bd49-12d477834abb,41804,4445,733,157,12.76,2026-04-01 19:56:51
8820df0d-e656-47e8-9a73-652643287230,538fbe10-decd-4587-a186-a0a42ed5c345,28357,3607,632,313,16.05,2026-03-02 17:33:12
8a7771dd-5be7-41c0-a417-429ee29a111d,1b8b0218-c228-4a4b-ad21-e84ca35b0813,38075,1407,1326,916,9.58,2026-05-14 23:58:14
baf14e81-bbb7-4691-96e6-da3fb650b81e,2710afcf-a7a5-4fc3-a7be-39d60c0f0b97,3210,105,104,47,7.98,2026-02-11 14:36:30
0753626c-12fe-4998-92b6-02c360122cbe,df690acb-6ecf-485a-a9e8-b24bd924f770,29120,2310,1156,407,13.3,2026-05-27 04:24:15
206bf16a-d5e9-4b3a-9f91-b713d6fe657f,90fdc664-03a0-4e49-b9f4-591896ebad6a,42798,2535,1523,1136,12.14,2026-02-07 21:37:27
84e3d6a2-ed39-4d7c-8045-0057d80b2da7,5d99553a-2793-4e28-bfb5-72f303e7268d,16609,510,469,334,7.91,2026-02-02 21:57:09
0c9e128f-41c0-4f34-8bd1-f3da7e733071,1b61dd04-3018-47ae-8a5b-5987d957255f,20221,2312,635,283,15.97,2026-02-07 15:27:32
5c210b1d-1c8c-45e0-82b1-64b810598f3d,f74394ce-5c0d-418d-ad08-5800355f0f3e,271,12,2,5,7.01,2026-03-31 00:48:17
5f206070-05ab-4757-ab37-ef58fed50748,3022ee85-2e0d-4bfb-bd49-12d477834abb,808,17,13,4,4.21,2026-05-10 22:35:07
f3ce90e2-f3e6-4056-b1ee-42530a95a4a4,6ad4adc5-606e-4353-810a-9d6d4d3b97d9,8862,727,115,39,9.94,2026-05-04 09:57:39
1ca0829b-7ca2-480a-840e-e25e513e327a,f74394ce-5c0d-418d-ad08-5800355f0f3e,20735,1405,320,263,9.59,2026-05-05 07:18:17
bc90c447-f38c-49d9-9a29-0ebc019c6a69,90fdc664-03a0-4e49-b9f4-591896ebad6a,42246,6298,422,712,17.59,2026-01-28 17:12:45
76c12990-3eeb-4dce-bab1-98e47ffa9289,1b61dd04-3018-47ae-8a5b-5987d957255f,10955,845,331,214,12.69,2026-02-14 20:45:46
0255bd7e-9608-443e-9777-82b5c81b0386,dfbeda84-fbdf-419d-9f45-28810155dc1d,40575,4432,1424,179,14.87,2026-02-08 18:08:41
552e8eb3-cfec-480b-aa6d-eda913250ee7,f74394ce-5c0d-418d-ad08-5800355f0f3e,38838,4462,672,544,14.62,2026-05-02 15:06:21
d8eb2f2d-cc19-4331-ab2b-02a4ef32ec3b,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,18351,1904,251,345,13.62,2026-04-24 05:48:09
d7c1a729-33dd-48f5-ac42-cbf0dc1d941f,9a5ccf79-40b8-48c4-888b-d2c0a37676e8,45451,1067,1574,1205,8.46,2026-02-21 08:29:20
3d85c4cd-4cfc-471c-b070-b42a55146ca4,2de3ac49-12b4-4db7-80b3-6ac25b28df17,33592,1495,628,674,8.33,2026-05-01 18:09:14
9d4c9e05-17cc-4799-aad7-511c922bfdee,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,32632,2289,438,648,10.34,2026-02-05 05:19:11
9bde8b2f-9899-4814-b81e-7511850a6db3,7978c584-b86b-4e8c-9f63-d0d905dcef13,23864,3374,229,622,17.7,2026-04-05 21:44:26
d1b15218-1bb8-4d9e-b729-8a5008a3316d,5d99553a-2793-4e28-bfb5-72f303e7268d,36006,3916,1141,1034,16.92,2026-04-30 03:27:44
ea50f8fa-69ea-4e1b-8b78-d3e49bddeb75,7978c584-b86b-4e8c-9f63-d0d905dcef13,38693,1113,548,120,4.6,2026-02-03 22:57:20
4f54afc8-7d54-484d-9d90-d3f8b1c591dc,0b4e84dd-1d40-4495-abb6-ff313d14b1d1,33401,1911,1000,784,11.06,2026-03-19 12:42:07
c68ecdca-c362-4518-aab4-25c2264cfdd1,0b4e84dd-1d40-4495-abb6-ff313d14b1d1,5601,578,133,35,13.32,2026-02-06 17:33:53
8392624a-693b-437b-8c3c-1e6c7570a4e2,c412af8b-1ecf-43bf-be55-4e3a9cd0d184,33708,4709,1318,214,18.51,2026-03-07 21:50:46
2eb2790f-ee60-428c-bbd1-5be6de4e9082,1d546e9e-47d0-422f-ae8e-5490e2720ee1,41769,4979,1158,835,16.69,2026-03-05 22:05:36
3d50d628-895c-4593-9e3a-526565a8b4ba,dfbeda84-fbdf-419d-9f45-28810155dc1d,48038,6914,641,424,16.61,2026-05-18 15:43:59
847d3b82-3f5e-414f-a0b8-6cf4b0fb5ffa,f74394ce-5c0d-418d-ad08-5800355f0f3e,29912,2979,207,617,12.71,2026-04-16 15:59:45
606d46f8-1000-44b6-99fc-d90d6bb46f01,df690acb-6ecf-485a-a9e8-b24bd924f770,8027,173,78,18,3.35,2026-03-28 06:28:28
aaf2488c-7637-41e8-b729-3143affbeeb3,5d99553a-2793-4e28-bfb5-72f303e7268d,34475,3007,1164,319,13.02,2026-03-13 07:47:21
a2eb6490-0d8b-423f-8594-dfa6ea8218dc,d2b8df6d-c3f8-447c-84ce-16a1311668a7,48233,6522,1543,136,17.0,2026-05-04 13:16:33
e983ff68-213b-487d-8222-4698d93da5ee,d2b8df6d-c3f8-447c-84ce-16a1311668a7,34531,977,1033,626,7.63,2026-02-05 22:46:01
62672824-0f36-4c57-90a7-784fa4bb0982,3022ee85-2e0d-4bfb-bd49-12d477834abb,33674,2249,757,601,10.71,2026-03-12 19:44:45
c6758b4e-2863-4d5a-9dbc-84a699e9fea8,d2b8df6d-c3f8-447c-84ce-16a1311668a7,6943,946,198,36,17.0,2026-04-26 14:15:05
43a15f26-aff7-4ce0-bd15-9376a4820501,7978c584-b86b-4e8c-9f63-d0d905dcef13,3086,406,16,10,14.0,2026-03-12 09:03:27
8f31d69b-6a9e-44e2-8c0b-2185758d4076,90fdc664-03a0-4e49-b9f4-591896ebad6a,11928,1682,417,208,19.34,2026-05-17 08:58:28
83570b67-3bb1-464c-8ef2-856092226c08,1b61dd04-3018-47ae-8a5b-5987d957255f,27683,1361,378,765,9.05,2026-03-07 02:13:06
c58d90b2-c4de-4ad9-b5d8-5e266d080d3f,c412af8b-1ecf-43bf-be55-4e3a9cd0d184,37656,2578,849,1026,11.83,2026-02-18 05:19:01
c04d8e98-911f-4417-ac31-7635875fe486,d557c3e0-08b5-40ba-9236-c3d238c5d177,3209,462,23,48,16.61,2026-03-02 13:50:56
ae36e4a5-b58b-4a47-b0d6-5e91efdcd51f,9a5ccf79-40b8-48c4-888b-d2c0a37676e8,21649,676,454,266,6.45,2026-03-03 16:35:56
f6888dd9-5e0e-428a-8154-802f9ad72dda,9a5ccf79-40b8-48c4-888b-d2c0a37676e8,48668,4913,1033,903,14.07,2026-03-27 21:41:02
2760f835-52bb-4ff8-9dfe-ca6518f95c03,538fbe10-decd-4587-a186-a0a42ed5c345,48202,6606,1523,427,17.75,2026-01-28 11:10:24
bc77b9e6-20b1-4be4-a1f7-0f3e7e98400c,dfbeda84-fbdf-419d-9f45-28810155dc1d,1766,88,30,45,9.23,2026-05-12 23:08:14
98d53fea-d2f5-4fa1-b860-960d3a12e20b,1c5ad4cd-d019-4895-9d6e-cd51cf3bbb22,295,35,5,6,15.59,2026-03-05 14:26:09
efacdca2-fc4f-4c72-bb98-b5bb56c8743a,538fbe10-decd-4587-a186-a0a42ed5c345,34921,5161,687,1009,19.64,2026-05-24 09:46:33
a18ea7db-db66-4805-bd64-99d3977d5ac6,90fdc664-03a0-4e49-b9f4-591896ebad6a,46838,2640,306,397,7.14,2026-05-09 03:51:26
0d9b77cf-0a4b-447c-8700-594dd0ae37e9,dfbeda84-fbdf-419d-9f45-28810155dc1d,46130,6293,970,1058,18.04,2026-04-07 09:25:28
996acb3b-608c-4024-8071-14092555288b,d557c3e0-08b5-40ba-9236-c3d238c5d177,8949,920,168,166,14.01,2026-02-04 04:10:47
e7e15ff5-c585-4360-935d-1f771d13fdb6,55c4016f-700f-4928-8ffa-9e8575a1b2ef,8766,445,123,94,7.55,2026-05-03 19:09:27
54248c63-22d9-43af-b370-9bab932cee0c,6ad4adc5-606e-4353-810a-9d6d4d3b97d9,48392,3020,1008,413,9.18,2026-05-20 22:14:34
570c1a7c-18b9-4ff2-9f24-7185ca46e3ed,90fdc664-03a0-4e49-b9f4-591896ebad6a,38519,1316,335,561,5.74,2026-03-06 09:13:16
beae298c-4d72-407d-b621-06b38ed67db8,f74394ce-5c0d-418d-ad08-5800355f0f3e,35322,2351,1128,517,11.31,2026-03-24 07:14:36
9eea2965-acd6-465f-b52b-1265bf3dfbd7,f74394ce-5c0d-418d-ad08-5800355f0f3e,6125,248,177,153,9.44,2026-04-21 07:48:49
011456c8-3310-4b19-a33a-13edf5945139,2710afcf-a7a5-4fc3-a7be-39d60c0f0b97,14291,1838,235,65,14.96,2026-02-26 11:40:31
c49e96e4-cc15-42c7-b108-2914f3a4fabe,5d99553a-2793-4e28-bfb5-72f303e7268d,26168,2270,751,242,12.47,2026-05-26 13:57:14
68e1c768-86b4-4ffc-8bac-2feb3f75ef1a,7978c584-b86b-4e8c-9f63-d0d905dcef13,26702,3500,653,464,17.29,2026-02-08 01:36:50
2a021daa-5353-4af7-9abc-97d50bd3acdb,f74394ce-5c0d-418d-ad08-5800355f0f3e,9361,335,67,223,6.68,2026-02-23 08:59:42
7a0d6c7b-d112-49ce-a3ea-66ee56e25e60,538fbe10-decd-4587-a186-a0a42ed5c345,26452,1809,715,530,11.55,2026-04-07 13:53:52
93e21bf5-117b-4bc8-9bd4-ec822f6497e2,d2b8df6d-c3f8-447c-84ce-16a1311668a7,5114,116,37,139,5.71,2026-03-21 21:53:14
b5e84afe-a15d-48b7-a957-6c76da294848,90fdc664-03a0-4e49-b9f4-591896ebad6a,6227,857,211,70,18.28,2026-02-01 19:46:14
c9877fb5-755d-4eb6-bed6-391be7c5017b,3022ee85-2e0d-4bfb-bd49-12d477834abb,3518,147,88,87,9.15,2026-03-16 02:24:05
046ad0e0-71ee-44f3-87c1-b706b6b8eb00,7978c584-b86b-4e8c-9f63-d0d905dcef13,25282,2751,279,202,12.78,2026-02-19 03:48:01
17b150ad-e2ae-417d-8463-09ed182cebff,d2b8df6d-c3f8-447c-84ce-16a1311668a7,29429,3968,182,569,16.04,2026-02-26 04:39:55
f06c3bf8-2267-4f40-aa6b-c4a116c0ddda,9a5ccf79-40b8-48c4-888b-d2c0a37676e8,32895,2419,798,121,10.15,2026-03-02 06:33:36
da8dedec-f77e-4628-a429-ed2c751b1069,90fdc664-03a0-4e49-b9f4-591896ebad6a,27674,1271,995,462,9.86,2026-04-13 09:22:40
1168d495-6fee-4ab3-8793-d645615fb3d2,1b8b0218-c228-4a4b-ad21-e84ca35b0813,1479,219,47,17,19.13,2026-04-03 01:00:59
d82d7a50-9a52-4579-ac4d-7eea1df5bbd5,3ab30feb-3b7c-4946-8ab4-5df90e3a5ebc,22746,3153,513,292,17.4,2026-02-18 06:40:30
7a925725-7e11-4042-911f-309286b4c36c,1c5ad4cd-d019-4895-9d6e-cd51cf3bbb22,39332,1906,1429,936,10.86,2026-02-03 17:32:52
519ec6ca-cf28-4613-81cc-abe6730b6b08,3ab30feb-3b7c-4946-8ab4-5df90e3a5ebc,34896,2319,887,297,10.04,2026-02-15 20:31:29
ccb334f4-1bbc-4fb2-b0b9-318588dc685f,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,43248,2220,1024,1044,9.91,2026-04-26 03:32:18
3ef21fa5-c7f9-4975-8edc-102da3eabee0,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,37928,4932,1248,452,17.49,2026-05-08 09:45:55
a6da1988-62ee-4f86-95b7-fb41300c6239,df690acb-6ecf-485a-a9e8-b24bd924f770,11740,595,189,266,8.94,2026-03-11 18:06:02
c0db4e06-0521-4ffc-8dcc-c9ed51f1c5a7,1d546e9e-47d0-422f-ae8e-5490e2720ee1,2048,228,35,36,14.6,2026-02-13 18:03:35
75371383-23b5-4d58-b95c-bc29e260f938,538fbe10-decd-4587-a186-a0a42ed5c345,32458,2936,361,99,10.46,2026-02-03 10:34:08
357abc31-b0bb-4b77-9723-312de13aed57,2de3ac49-12b4-4db7-80b3-6ac25b28df17,14539,328,315,164,5.55,2026-04-11 09:30:48
35b74bab-2e5a-4b9a-991a-97e1cd8e5c11,90fdc664-03a0-4e49-b9f4-591896ebad6a,22531,2550,837,577,17.59,2026-03-07 12:44:27
c3e0c8f1-748f-4a7d-aaf4-66df9948e5e7,7978c584-b86b-4e8c-9f63-d0d905dcef13,9880,951,366,233,15.69,2026-05-09 06:40:12
383c9c9f-8c04-4fb0-a32f-666f5fad0cb2,5d99553a-2793-4e28-bfb5-72f303e7268d,4953,339,188,64,11.93,2026-02-08 19:46:40
d7152db5-551e-470e-bf7b-6a32b5bb690f,9a5ccf79-40b8-48c4-888b-d2c0a37676e8,21342,805,224,609,7.68,2026-05-02 17:18:42
29b9fb67-c7e7-456b-9493-b16873e80bee,3ab30feb-3b7c-4946-8ab4-5df90e3a5ebc,42744,2617,1271,758,10.87,2026-05-14 10:51:14
09c8b8e8-c1a0-43fd-b291-36a7538d5d58,2de3ac49-12b4-4db7-80b3-6ac25b28df17,23584,1156,604,162,8.15,2026-03-05 12:27:22
a5ca7d3b-f2c1-47d3-a856-4e6e34599e2e,6ad4adc5-606e-4353-810a-9d6d4d3b97d9,19501,712,594,557,9.55,2026-05-21 13:03:21
eb4ab00f-df30-4b41-adeb-463a298eee61,0b4e84dd-1d40-4495-abb6-ff313d14b1d1,37390,905,975,1039,7.81,2026-05-23 19:17:47
130e115c-8ac9-4009-9790-8152c0674129,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,42119,3939,1591,250,13.72,2026-04-27 03:23:38
