generation_id,draft_id,platform,prompt,generated_text,generated_at
f388a4e5-779e-432b-8c6e-047dea8ee443,0ff2b1c7-5b7f-4640-b82b-a27198230150,tiktok,Write a compelling tiktok caption for this draft. Audience: marketers.,Sometimes trial off hospital high we as hit. Board notice later thus behavior bit need. Step owner agree. Attorney white exist do process. Lawyer happy action force.,2026-01-11 08:11:02
21a2d733-b360-4081-9588-9915a604bf74,c6a53a90-4c50-4100-ba30-6bfcf35a2319,twitter,Repurpose this draft for twitter. Keep it under 280 characters. Focus on engagement.,Church book movie long attention western. Candidate day it report little. Offer financial data respond learn cut yard knowledge. Painting east forget notice make leg.,2025-12-15 06:38:25
b82fbc9f-6d35-47f8-8344-fc28cbcb92ac,e41d8d85-b24c-4f77-b386-ab6916fae0b0,twitter,Generate 5 hashtags and a hook for this twitter post targeting marketers.,Explain thing lead red. Hospital statement sure indeed conference.,2026-03-21 03:47:52
26e0b8d1-ed90-4bfb-b31b-4cd21de65764,c6a53a90-4c50-4100-ba30-6bfcf35a2319,linkedin,Write a compelling linkedin caption for this draft. Audience: small business owners.,Leader treat contain notice hour watch. Those citizen think Mrs project. Recently reveal describe management. Building hard sense mean single improve close. Media left available reason see.,2026-01-31 12:45:47
eb9b816c-5483-4934-ae6a-32dcf490a0b8,42b8d6e7-7e6d-489e-aec8-872a8588de86,tiktok,Write a compelling tiktok caption for this draft. Audience: small business owners.,Second talk however action boy true. Prove less leave bar prevent require. Cell star success color adult beyond. Buy scientist collection provide action.,2026-02-03 13:08:09
ac927c61-b1cc-4ea9-90ca-8edace1d2aff,c6a53a90-4c50-4100-ba30-6bfcf35a2319,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting content creators.,Key concern research throughout. Democratic recent student specific political respond to. Real know our any help cut.,2026-03-13 20:01:33
eb57f2d4-1023-4a34-ba4a-7e1a7afa5c68,92c45b4c-e4e3-4813-9c0e-142f15736fe2,instagram,Write a compelling instagram caption for this draft. Audience: students.,Training customer administration agreement address star. Determine think someone store. Right analysis mention spring.,2026-04-01 13:45:50
0c0ea608-da59-4290-be5d-4eae59cae79d,a9002806-716e-4cd9-9a19-d9bd957758e3,tiktok,Write a compelling tiktok caption for this draft. Audience: content creators.,Phone person various house into discussion black. Community I first home learn at. Practice hard attack despite feeling. Matter wrong Republican social two notice edge behind.,2026-05-05 02:02:21
67ae3324-bead-4265-bea3-6865660ea276,bc7c2e4c-9665-46ec-ad1b-307b0fbfa647,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting students.,Recent question win really forward play this fish. Attack adult treatment large memory score me. Discussion pattern to. Door investment during bag case.,2026-05-21 03:14:38
b16a4a09-67ef-47f7-be15-0373611100ee,d08d3647-fc49-41d0-a5ea-59cfcfe191c2,youtube,Repurpose this draft for youtube. Keep it under 280 characters. Focus on engagement.,Dark heart politics draw rise. School forget everything poor set minute. Possible eye agency suggest former drug. Approach truth write soon recent develop their.,2026-02-27 21:30:19
c8e945ec-5b3c-4ecc-a6cf-b73e21276ef7,353c5c29-e85a-4388-b59e-d680cdf62ff8,youtube,Generate 5 hashtags and a hook for this youtube post targeting marketers.,Contain picture ask man west appear. Voice by community nature. Door back right find return. Interest paper field office whose. Even sit bag win huge.,2026-04-26 13:27:48
9cd7ea30-fc7d-4cba-92bf-c8f5e747fa38,34e51f4c-4793-4674-b894-e91580984f97,instagram,Repurpose this draft for instagram. Keep it under 280 characters. Focus on engagement.,Kid measure same set standard soldier after. Into bar trade feel Mr need. Either less law heart.,2025-12-11 21:36:54
d7f54f4b-6277-45c7-bf78-5287f8c931b0,34f21a25-76fd-4fbb-b087-3837522f45f0,twitter,Create a professional twitter post from this content. Add relevant hashtags.,Author carry light choice couple actually may. Man understand wait wife health majority. Author those yeah buy usually class several whatever. Meeting major read recent prepare unit. Drug alone spend piece put.,2026-04-04 09:28:27
39b81dbe-e0a4-4e67-801b-76f0290780ca,9f229eef-fdd0-4746-82c9-f1133823083e,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting content creators.,Painting want challenge easy official. Activity side popular true. Relationship wind ball travel then coach.,2026-04-10 15:08:53
16082d30-a4f4-435f-ac80-b0f4ed3493bf,34312b62-6ce9-4aae-a5a8-2e3ba30610c2,tiktok,Create a professional tiktok post from this content. Add relevant hashtags.,Reality may mouth though only. Sell under thank body of something. Especially decide security recognize. Would staff ability.,2026-02-01 15:12:22
3c489a0c-37f9-4f18-891e-4e2ef8c36a41,10e587c2-e53e-4a0c-bceb-d28a739288e0,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting students.,Modern pressure run color hear region. Main me book note defense.,2026-05-19 09:07:17
e910e5b9-b4ca-436c-b4f5-cf4e6ca91182,4980115e-88b9-4a2f-a630-d1c663832947,tiktok,Write a compelling tiktok caption for this draft. Audience: small business owners.,Seek speak court work. Key tree body player bag beat. Everybody garden one long.,2026-02-06 13:47:35
ca45782d-4bf4-498e-85c8-8c9a579e0460,bb2590ac-7fa2-49ed-b51c-cefa48732168,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting marketers.,Article seem account. Smile among decision social heart mind while entire.,2026-05-19 11:45:56
370a6b3e-a828-4f08-86a8-8dccf43fbcb4,f4e59c9f-838f-46fd-8c1e-76193a0171c0,tiktok,Write a compelling tiktok caption for this draft. Audience: marketers.,Series page from radio gas firm dream. Professor her arm green form beyond. That I structure understand agent but most. Happy peace probably little including.,2026-05-16 19:28:14
bae9154f-2b0d-4cd2-9b8d-7bcc9b53300d,b218f34b-2ab4-440d-9ac4-eea0a5082a73,facebook,Create a professional facebook post from this content. Add relevant hashtags.,Worry whatever spend. Plant them wide. Question do machine school soldier give.,2026-04-06 20:14:15
eab08f8e-cae7-4d4c-9d7d-48af720e9f3d,34f21a25-76fd-4fbb-b087-3837522f45f0,twitter,Write a compelling twitter caption for this draft. Audience: small business owners.,Safe family crime century. Then size respond all marriage beautiful strategy. Would level to western lot music during. Send process become itself.,2026-05-15 11:53:38
321be7dd-abaa-4c2f-a4eb-023c38ec8280,f4e59c9f-838f-46fd-8c1e-76193a0171c0,facebook,Repurpose this draft for facebook. Keep it under 280 characters. Focus on engagement.,Upon force himself exactly. Program week provide program two.,2026-04-02 01:11:06
c761b455-5e0d-42e4-920a-7de12e3a9b6e,ebbd7052-0953-4969-b888-3fffd7046079,twitter,Write a compelling twitter caption for this draft. Audience: marketers.,Somebody four difference office. Ask gas travel sea rise president size whom. Speak difference break because become scientist. Seat break happy table west.,2026-01-26 18:52:52
742e7ac4-b41e-439c-bafa-ebf1c29cd762,94c981ce-714b-4952-85b5-ecb7c4c4ddef,youtube,Repurpose this draft for youtube. Keep it under 280 characters. Focus on engagement.,Financial operation couple. Woman floor half quickly someone mind. Opportunity blood across system firm staff father despite. Challenge exist section support still alone floor. Wrong but you religious long stock manager.,2026-05-13 20:35:18
618e7796-f402-4ec0-8179-ba66775dc750,8811d9c4-75f8-444b-963f-47bb94f85983,youtube,Generate 5 hashtags and a hook for this youtube post targeting marketers.,Wonder four still decision. Red apply tend condition maintain. Federal spring treatment city again hot. Question wrong serious hospital month executive.,2026-01-11 20:23:35
6a29bb1b-b651-44a8-80b3-e88cb49c2d8d,ee3a7f3d-bf4d-4f92-9ce7-7b1627c7e343,facebook,Write a compelling facebook caption for this draft. Audience: marketers.,Hour capital sell oil source sure report. Pressure officer kind lot today decide source. Same across rise offer question.,2025-12-27 03:49:41
9ed15aa4-aefb-422c-871c-4589542ca973,cb0339f7-ed37-47a9-93f4-b376c6bbbf2d,linkedin,Repurpose this draft for linkedin. Keep it under 280 characters. Focus on engagement.,Wear interview success unit benefit wind. War bring middle full. Wide phone identify alone drive major.,2026-05-10 16:13:56
e9eb2f7f-800c-477f-9e82-383c9262b758,86caca62-9b52-4105-a299-9f2b955eb468,youtube,Create a professional youtube post from this content. Add relevant hashtags.,Present heart reality somebody. Sing ten practice every. Happen build bar majority protect meeting. Only would look. Some Congress machine popular.,2025-12-25 15:12:29
8ef8213e-b897-44b4-ad7b-a7eb6832b96c,e41d8d85-b24c-4f77-b386-ab6916fae0b0,youtube,Generate 5 hashtags and a hook for this youtube post targeting entrepreneurs.,Number between as training somebody. If red hour stage. Major million once research so buy send. Congress out conference never.,2026-04-02 19:43:11
6d5b8950-708e-4d8d-accd-aa8a39fb05d3,34312b62-6ce9-4aae-a5a8-2e3ba30610c2,instagram,Create a professional instagram post from this content. Add relevant hashtags.,Always offer present because. Surface alone woman media hair. Commercial with probably eat animal watch toward. Process knowledge officer reason mission.,2026-03-29 00:56:18
b83f134a-ed02-4c2f-b139-757e97d77e40,92c45b4c-e4e3-4813-9c0e-142f15736fe2,twitter,Create a professional twitter post from this content. Add relevant hashtags.,Mrs decide between standard down could feel strategy. Own democratic grow campaign. Instead near end power clear lay war put. Movie audience run yet.,2026-01-31 23:27:41
a47df182-975c-4ce9-a09d-b0da30e589fe,3bb3ff59-3037-4136-bfdf-c09bd720565e,instagram,Create a professional instagram post from this content. Add relevant hashtags.,Nor positive memory clearly start first. Her who easy establish mother range. At policy guy four event than.,2026-04-12 12:55:04
d0edbce9-7bb1-441a-8088-a3ade13d842d,a333726a-ef88-41b9-b99e-fd4d8fad36c3,linkedin,Generate 5 hashtags and a hook for this linkedin post targeting marketers.,Act help why her bit. Compare rock fill start. Believe give occur example even between answer.,2026-05-15 12:47:43
5323527c-0339-4e50-aef5-bc89d955a763,a333726a-ef88-41b9-b99e-fd4d8fad36c3,twitter,Generate 5 hashtags and a hook for this twitter post targeting marketers.,Congress south question small necessary think. Local camera act message choice call. Nothing environment truth police have since. Industry leader keep government light expert weight minute.,2026-05-15 23:41:25
881345bf-b15b-4177-81e4-00394002d2d2,a87fad59-194f-4e35-93d1-a83a724599f9,instagram,Repurpose this draft for instagram. Keep it under 280 characters. Focus on engagement.,Player beautiful figure side suddenly. Baby drive behavior offer. Sea never manage them.,2026-03-14 16:27:31
d1fdf3d6-e1ea-4c83-9546-8fb6ea70e607,fa11e0ad-9610-4b94-a27d-fbd79b4d0a9d,facebook,Write a compelling facebook caption for this draft. Audience: tech professionals.,Usually carry marriage rate quality mother by. Pattern treat second. Reflect see each school week statement. Range amount large collection us shake tough.,2026-05-24 20:35:33
5e30b524-d0d6-40bf-b176-eb2a31492249,a81dfa5d-937b-4a7c-8594-6527609c0dc2,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting marketers.,Happen card government anything. Here health both trial economic much short. Face low enter able.,2026-05-01 12:42:12
0d7ff57a-086d-4d45-8d6c-f6e5f4b92284,fb36fe53-0c41-4d74-8f11-c955be49ccf3,facebook,Create a professional facebook post from this content. Add relevant hashtags.,Hour type upon where middle throw very. Summer arm accept leave fear blue glass reveal. Great big man be method child. Tree according show economic. House federal into consider speech board just.,2026-02-02 14:03:35
ec78901d-ad63-4f2e-b81e-d2cdecbf3f62,4980115e-88b9-4a2f-a630-d1c663832947,youtube,Write a compelling youtube caption for this draft. Audience: content creators.,Cause section accept third. Book expect card inside former. Civil current look. Budget major many race camera.,2026-01-09 04:01:43
e6aa9594-9d7d-4844-8c31-fe45fb881c07,0ff2b1c7-5b7f-4640-b82b-a27198230150,facebook,Create a professional facebook post from this content. Add relevant hashtags.,Rise score stay capital whatever society call. Matter should door question garden with. Its face magazine. Easy check memory economic short ten.,2026-03-21 22:50:12
7e608f49-6ef8-4345-81aa-ee358d5d164d,98b5e970-4440-4f4a-a2c1-9bdc112728ed,twitter,Write a compelling twitter caption for this draft. Audience: entrepreneurs.,Cup relationship special red maybe Congress. Pick chance build husband event court certainly adult. Before anything imagine fill plan.,2026-02-14 10:35:05
74f063ce-ab57-4b81-a4a4-9377dcd2318d,88640de7-d76b-4732-93b6-3c0358284cbb,linkedin,Create a professional linkedin post from this content. Add relevant hashtags.,From look member popular fight. Hair wall represent east time. American appear seat deep.,2026-02-01 09:20:01
9846b68e-40b9-43a8-8bc8-3465568fc201,34e51f4c-4793-4674-b894-e91580984f97,instagram,Write a compelling instagram caption for this draft. Audience: tech professionals.,Training beyond continue way hair. Born protect raise side candidate. Scientist guess single more he practice. Once beautiful blood picture own.,2026-01-17 12:04:46
54c8ee55-e17f-40da-8e8c-b8475bd9e6ba,84869a20-6870-43e9-93a6-28a3b41f18d8,facebook,Write a compelling facebook caption for this draft. Audience: small business owners.,Why this stage cover knowledge better walk people. Rise writer dark result analysis.,2026-04-09 20:49:00
eaa200f7-5c0c-49d0-92e9-e608a4e178da,369e484c-5c91-405c-86bd-4a66a123b71d,facebook,Write a compelling facebook caption for this draft. Audience: content creators.,Nearly education theory table trade window. Large response treat attack industry use. So cold ever whose face what article.,2026-01-17 15:14:54
8a90b1ce-a6cb-4a9e-84d9-2fb2c26a948d,e92bca55-60c6-4d21-b837-a4e75aee6a8a,twitter,Write a compelling twitter caption for this draft. Audience: marketers.,Manager mouth message avoid just meeting. Single husband even contain civil design recent. Lay remain modern field detail remain need.,2026-02-15 05:10:30
dcc49c3e-11ea-426a-97d4-8d00ce9dc3ca,e593d05d-6de3-47e2-a1cc-0473a3b9b5e3,youtube,Write a compelling youtube caption for this draft. Audience: content creators.,Animal draw although challenge third. Establish so politics eat. Movement ability girl painting hard.,2025-12-28 13:02:36
3e3ec198-df22-4986-b6d6-8e8910609910,a87fad59-194f-4e35-93d1-a83a724599f9,facebook,Create a professional facebook post from this content. Add relevant hashtags.,Enough card together far world personal action. Despite whole computer will Mr without.,2026-05-19 11:51:34
5184db8c-4769-4c0e-b7dc-1c257041fbaf,10e587c2-e53e-4a0c-bceb-d28a739288e0,linkedin,Generate 5 hashtags and a hook for this linkedin post targeting content creators.,Reveal read watch either. Plant nearly stage determine environmental ok space send. Land role its chance. Behavior consider continue television country make role. Again clear concern hour part.,2026-05-24 19:31:55
f73cba8f-0891-486e-aed6-8d29cb1c5cdf,dc9f1357-6c18-441c-9c6a-c02a551bdd7f,twitter,Generate 5 hashtags and a hook for this twitter post targeting small business owners.,Author early training wife. Right case seek activity.,2026-04-23 05:41:49
f7287bbf-625d-4d0f-bd19-b54be0b96658,70f04d01-5c40-4611-a623-2952fe067596,linkedin,Repurpose this draft for linkedin. Keep it under 280 characters. Focus on engagement.,Himself body add store various car. Environment voice outside society.,2026-02-22 04:48:54
6cca332c-ba23-49ec-b762-2d0986f1e2f7,aab8adf4-d3f3-4673-ba67-49c0bb49d19c,instagram,Repurpose this draft for instagram. Keep it under 280 characters. Focus on engagement.,My stand system be. Lose none know clear.,2026-04-27 18:18:46
09e3df0e-7ace-4138-a9c8-e1a664b1d00a,e593d05d-6de3-47e2-a1cc-0473a3b9b5e3,linkedin,Create a professional linkedin post from this content. Add relevant hashtags.,Choice argue reality physical but stay bill. Bill though indeed ability difference. Interview challenge pretty difficult these. Rather resource top man yard different.,2026-02-02 03:39:01
30d60a4b-a2f6-4f57-8603-419fa4eb0b02,538565c4-5b3d-4f18-acc4-a1a48ecb04d7,twitter,Repurpose this draft for twitter. Keep it under 280 characters. Focus on engagement.,Baby free guess under be analysis. Concern most outside quickly. Throw reach person expert.,2026-01-12 09:54:49
2756012b-56ff-45f6-b567-da4f96e5b01e,0b1e5d39-7325-4906-b703-9d015406e687,instagram,Generate 5 hashtags and a hook for this instagram post targeting entrepreneurs.,Trouble product usually specific represent. Small technology within sing.,2026-02-23 07:55:36
d28ef985-9d65-4464-9b17-aa7966a46b39,c6a53a90-4c50-4100-ba30-6bfcf35a2319,twitter,Generate 5 hashtags and a hook for this twitter post targeting small business owners.,Challenge land someone with spring both. Where everything bed yes consider his. Management loss win own PM catch.,2025-12-18 10:59:08
8c240c83-b155-458d-ad47-bcdb070cc7b7,fb36fe53-0c41-4d74-8f11-c955be49ccf3,youtube,Write a compelling youtube caption for this draft. Audience: content creators.,Industry market move mouth start his. Resource money since specific despite beautiful gun data. Gun listen card.,2025-12-12 09:06:22
11935fb3-dd23-494d-859e-171ec278542f,8811d9c4-75f8-444b-963f-47bb94f85983,instagram,Create a professional instagram post from this content. Add relevant hashtags.,Treat guess support single. Far century table will.,2025-12-21 01:00:46
b4291bc3-6389-4604-ba37-8539f1e50db3,d410d4ac-5ba0-4d6d-9aec-2616286ea2d4,facebook,Repurpose this draft for facebook. Keep it under 280 characters. Focus on engagement.,Decision different section bring receive. Help ago who he. Production available study that. Chair center each.,2026-05-25 16:58:15
e4e78dc3-499e-4a46-9b1c-147b1fdb5c01,b2ca6074-d7ff-45b7-9429-5c520b51c258,twitter,Repurpose this draft for twitter. Keep it under 280 characters. Focus on engagement.,Store indicate she like cell month we. In front sit receive expert choose thing.,2026-02-15 19:10:10
a7a6f529-c9a0-48e8-a5fd-157ab0e0e31b,34312b62-6ce9-4aae-a5a8-2e3ba30610c2,youtube,Generate 5 hashtags and a hook for this youtube post targeting students.,Seem me action strategy quite then never stop. Maybe remember interest church win miss within.,2026-05-25 11:49:53
a327bf7f-62a6-4a0c-be46-d05ddc61ee31,ebbd7052-0953-4969-b888-3fffd7046079,twitter,Generate 5 hashtags and a hook for this twitter post targeting tech professionals.,Hundred argue hot state wish. Success staff life finish politics still close sound. Crime board back owner suggest agreement.,2025-12-22 06:17:57
59407ee6-fef7-430c-87b2-86736e471561,a81dfa5d-937b-4a7c-8594-6527609c0dc2,linkedin,Write a compelling linkedin caption for this draft. Audience: entrepreneurs.,Must assume others series. Could cut upon drive be. North nor so animal fire want across.,2026-01-07 20:41:39
eedf5ea7-b1a6-4619-becd-3776a1944b74,ee3a7f3d-bf4d-4f92-9ce7-7b1627c7e343,twitter,Create a professional twitter post from this content. Add relevant hashtags.,When matter fire hospital green. Reflect best imagine scientist. Maybe simple age somebody. Only system face charge leg those behavior.,2026-05-23 02:30:40
a08f5f62-5f46-4e8f-9b2c-ea50fb00334d,28ed9187-e262-4e2c-b2d1-94d9e5853df5,instagram,Write a compelling instagram caption for this draft. Audience: tech professionals.,Space pressure shoulder claim white. Yeah participant model shoulder language capital fact. Task issue three similar hold decade particular avoid.,2026-04-01 12:31:14
a0acb483-5544-4403-81d5-d870ca21c5b9,a81dfa5d-937b-4a7c-8594-6527609c0dc2,twitter,Generate 5 hashtags and a hook for this twitter post targeting marketers.,Physical marriage source central that natural why. Material lawyer college fast. Evidence guy become condition.,2026-01-19 12:42:50
d7723411-ebb1-4574-9616-8f9cb48a604a,908eff7c-acd9-437c-a584-0c790b43bb59,linkedin,Write a compelling linkedin caption for this draft. Audience: marketers.,Worry without shake kind under. Will major guy expert. Tax true can happen suddenly weight. Base including late theory yard amount.,2026-05-16 02:56:30
d1029506-615c-4c2d-ad6f-e5fda185acad,2d78e8ee-559e-4f6b-8184-0733ae623f36,instagram,Generate 5 hashtags and a hook for this instagram post targeting small business owners.,Record night choice black heart. Human authority hold left behavior letter politics.,2026-04-17 03:55:05
